pid,user,database,event_type,session_duration_sec,query_command,query_text,timestamp
7356,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:05:30.005+07
7356,postgres,postgres,LOG,0.0,,,2025-10-04 21:05:30.007+07
7356,postgres,postgres,LOG,0.0,,,2025-10-04 21:05:30.007+07
7356,postgres,postgres,FATAL,0.0,,,2025-10-04 21:05:30.007+07
7356,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:05:30.007+07
7391,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:05:58.795+07
7391,root,root,LOG,0.0,,,2025-10-04 21:05:58.796+07
7391,root,root,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:05:58.798+07
7391,root,root,FATAL,0.0,,,2025-10-04 21:05:58.798+07
7474,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:06:10.469+07
7474,hodaoty,hodaoty,LOG,0.0,,,2025-10-04 21:06:10.472+07
7474,hodaoty,hodaoty,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:06:10.472+07
7474,hodaoty,hodaoty,FATAL,0.0,,,2025-10-04 21:06:10.472+07
7482,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:06:32.275+07
7482,postgres,hodaoty,LOG,0.0,,,2025-10-04 21:06:32.276+07
7482,postgres,hodaoty,LOG,0.0,,,2025-10-04 21:06:32.276+07
7482,postgres,hodaoty,FATAL,0.0,,,2025-10-04 21:06:32.276+07
7482,postgres,hodaoty,DETAIL,0.0,,,2025-10-04 21:06:32.276+07
7505,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:07:12.678+07
7505,postgres,hodaoty,LOG,0.0,,,2025-10-04 21:07:12.680+07
7505,postgres,hodaoty,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:07:12.680+07
7505,postgres,hodaoty,FATAL,0.0,,,2025-10-04 21:07:12.680+07
7109,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:07:19.301+07
7109,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:07:19.390+07
7510,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:07:22.548+07
7510,postgres,postgres,LOG,0.0,,,2025-10-04 21:07:22.548+07
7510,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:07:22.548+07
7510,postgres,postgres,ERROR,0.0,,,2025-10-04 21:07:34.031+07
7510,postgres,postgres,STATEMENT,0.0,,,2025-10-04 21:07:34.031+07
7510,postgres,postgres,DISCONNECT,33.715,,,2025-10-04 21:07:56.263+07
7551,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:08:05.883+07
7551,root,root,LOG,0.0,,,2025-10-04 21:08:05.884+07
7551,root,root,LOG,0.0,,,2025-10-04 21:08:05.884+07
7551,root,root,FATAL,0.0,,,2025-10-04 21:08:05.884+07
7551,root,root,DETAIL,0.0,,,2025-10-04 21:08:05.884+07
7557,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:08:18.793+07
7557,postgres,postgres,LOG,0.0,,,2025-10-04 21:08:18.793+07
7557,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:08:18.793+07
7557,postgres,postgres,ERROR,0.0,,,2025-10-04 21:08:25.718+07
7557,postgres,postgres,STATEMENT,0.0,,,2025-10-04 21:08:25.718+07
7557,postgres,postgres,ERROR,0.0,,,2025-10-04 21:08:31.191+07
7557,postgres,postgres,STATEMENT,0.0,,,2025-10-04 21:08:31.191+07
7557,postgres,postgres,DISCONNECT,69.629,,,2025-10-04 21:09:28.422+07
7607,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:09:57.695+07
7607,postgres,postgres,LOG,0.0,,,2025-10-04 21:09:57.695+07
7607,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:09:57.695+07
7607,postgres,postgres,ERROR,0.0,,,2025-10-04 21:10:18.208+07
7607,postgres,postgres,STATEMENT,0.0,,,2025-10-04 21:10:18.208+07
7607,postgres,postgres,DISCONNECT,41.209,,,2025-10-04 21:10:38.904+07
7631,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:10:44.191+07
7631,postgres,testdb,LOG,0.0,,,2025-10-04 21:10:44.192+07
7631,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:10:44.192+07
7631,postgres,testdb,DISCONNECT,133.192,,,2025-10-04 21:12:57.384+07
7104,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:33.420+07
7104,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:33.428+07
7270,postgres,testdb,FATAL,0.0,,,2025-10-04 21:21:33.465+07
7270,postgres,testdb,DISCONNECT,1088.403,,,2025-10-04 21:21:33.467+07
7257,postgres,postgres,FATAL,0.0,,,2025-10-04 21:21:33.488+07
7257,postgres,postgres,DISCONNECT,1092.952,,,2025-10-04 21:21:33.491+07
7104,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:33.534+07
7109,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:33.551+07
7109,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:33.561+07
7109,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:33.599+07
7104,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:33.647+07
7927,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:34.244+07
7927,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:34.248+07
7927,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:34.248+07
7927,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:34.255+07
7934,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:34.329+07
7927,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:21:34.380+07
7939,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:21:34.903+07
7942,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:21:35.455+07
7942,postgres,template1,LOG,0.0,,,2025-10-04 21:21:35.462+07
7942,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:21:35.462+07
7942,postgres,template1,DISCONNECT,0.101,,,2025-10-04 21:21:35.556+07
7945,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:21:36.081+07
7945,postgres,template1,LOG,0.0,,,2025-10-04 21:21:36.085+07
7945,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:21:36.085+07
7945,postgres,template1,DISCONNECT,0.013,,,2025-10-04 21:21:36.093+07
7948,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:21:36.618+07
7948,postgres,template1,LOG,0.0,,,2025-10-04 21:21:36.619+07
7948,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:21:36.619+07
7948,postgres,template1,DISCONNECT,0.004,,,2025-10-04 21:21:36.623+07
7956,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:21:50.974+07
7956,postgres,postgres,LOG,0.0,,,2025-10-04 21:21:50.975+07
7956,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:21:50.975+07
7956,postgres,postgres,LOG,0.0,,,2025-10-04 21:22:12.695+07
7956,postgres,postgres,LOG,0.0,,,2025-10-04 21:22:31.607+07
7956,postgres,postgres,LOG,0.0,,,2025-10-04 21:23:04.427+07
7956,postgres,postgres,LOG,0.0,,,2025-10-04 21:23:28.809+07
7979,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:23:35.935+07
7979,postgres,auditdb,LOG,0.0,,,2025-10-04 21:23:35.936+07
7979,postgres,auditdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:23:35.936+07
7956,postgres,postgres,DISCONNECT,104.971,,,2025-10-04 21:23:35.945+07
7979,postgres,auditdb,ERROR,0.0,,,2025-10-04 21:25:02.459+07
7979,postgres,auditdb,STATEMENT,0.0,,,2025-10-04 21:25:02.459+07
7979,postgres,auditdb,AUDIT_CREATE TABLE,0.0,CREATE TABLE,"CREATE TABLE employee(id SERIAL PRIMARY KEY, name TEXT, salary NUMERIC)",2025-10-04 21:25:11.646+07
7979,postgres,auditdb,LOG,0.0,,,2025-10-04 21:25:27.098+07
7979,postgres,auditdb,AUDIT_GRANT,0.0,GRANT,"GRANT USAGE, SELECT, UPDATE ON SEQUENCE employee_id_seq TO audituser",2025-10-04 21:26:05.701+07
7979,postgres,auditdb,DISCONNECT,158.0,,,2025-10-04 21:26:13.935+07
7932,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:26:34.416+07
8047,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:27:20.168+07
8047,audituser,auditdb,LOG,0.0,,,2025-10-04 21:27:20.192+07
8047,audituser,auditdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:27:20.192+07
8047,audituser,auditdb,LOG,0.0,,,2025-10-04 21:27:33.616+07
8047,audituser,auditdb,AUDIT_INSERT,0.0,INSERT,"insert into employee(name, salary) values('Naruto',123456)",2025-10-04 21:28:13.599+07
7932,[unknown],[unknown],LOG,0.0,,,2025-10-04 21:28:14.479+07
8047,audituser,auditdb,LOG,0.0,,,2025-10-04 21:28:16.484+07
8047,audituser,auditdb,DISCONNECT,64.063,,,2025-10-04 21:28:24.231+07
8256,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:33:41.969+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.041+07
8256,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:33:42.041+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.066+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.066+07
8256,postgres,postgres,AUDIT_SELECT,0.0,SELECT,"SELECT set_config('bytea_output','hex',false) FROM pg_show_all_settings() WHERE name = 'bytea_output'",2025-10-04 21:33:42.101+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.103+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.108+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.134+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.148+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.180+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.180+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.180+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.180+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.180+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.180+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.180+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.180+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.180+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.180+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.193+07
